State,Percent of Population that Registered to Vote,Percentage of Population that Voted,Percent of Males that Voted,Percent of Females that Voted,Percent of African Americans that Voted,Percent of Latinos that Voted,Percent of Asians that Voted,Percent of Whites that Voted,Percent of Population Aged 18-24 that Voted,Percent of Population Aged 25-34 that Voted,Percent of Population Aged 35-44 that Voted,Percent of Population Aged 45-64 that Voted,Percent of Population 65 or Above that Voted,Overall Voter Fairness Score (out of 34.5),Ease of Registering to Vote (out of 5),Ease of Voting In-Person (out of 5.5),Ease of Voting By Mail (out of 5),Representation & Participation Score (out of 6),Election Security Score (out of 7),Independence & Integrity Score (out of 6)
OHIO,75.2,68.5,67.6,69.3,63.4,45.7,41,71.6,51.8,57.9,64.2,73.4,80.8,10.75,-0.25,0,1.5,3.5,5,1
OKLAHOMA,64,55.5,51.7,59,46.8,21.6,Unknown,64.6,29.7,44.1,47,65.7,70.3,6.5,0,1,1.5,1.5,2,0.5
OREGON,76.9,71.3,69.5,73,47.5,37.3,46.2,77.2,53.8,66.1,72.9,73.9,79,25.5,3.5,2.5,5,4,6,4.5
PENNSYLVANIA,74.1,68.2,66.7,69.7,66.7,43.6,36.3,71.2,49.4,67.4,63.6,72.1,74.2,15.25,3.25,1.5,3,2,5,-0.5
RHODE ISLAND,68.5,61.3,61.3,61.4,Unknown,Unknown,Unknown,65.1,49,56.1,54.5,64.5,72.6,20.25,3.5,2.5,3.25,2.5,6,2.5
SOUTH CAROLINA,67.7,61.3,61.3,61.3,52.9,24.3,Unknown,68.7,51.4,47.2,56.6,66.1,71.9,7.75,2.25,1,-0.25,1.75,2,1
SOUTH DAKOTA,66.3,57.7,57.2,58.1,Unknown,Unknown,Unknown,60.3,42.7,44.3,50.7,65.6,69.5,10,-0.75,3,0.75,1.5,4,1.5
TENNESSEE,70.8,63.3,61.4,65.1,68.3,19.1,41.3,66.8,46.9,52.3,60.3,70.6,71.6,6.5,1.25,0.5,-0.25,0.5,4,0.5
TEXAS,62.1,55.3,53.1,57.4,56.3,38.4,38.9,70.6,39.1,45.6,49.7,61.5,71.3,6.5,-0.5,2.5,-0.75,1.25,4,0
UTAH,63.3,59.7,56.5,62.9,Unknown,35.3,Unknown,64.7,47.3,53.8,57.9,65.4,73.3,20,4,2.5,4.25,2.5,5,1.75
VERMONT,72,67.5,65.5,69.4,Unknown,Unknown,Unknown,69.4,Unknown,52.3,Unknown,72.8,79.2,24,3.75,2.5,5,3.75,4,5
VIRGINIA,70.1,66,64.2,67.5,58.3,32.1,49.4,75.9,47.4,59.9,62.2,72.2,73.8,21.5,3,2,3,2.75,6,2.75
WASHINGTON,67.2,64.3,61.3,67.2,50.8,38.4,37.7,74.5,48.6,56,60.8,69.1,74.8,30.25,4.5,3.5,5,6,6,5.25
WEST VIRGINIA,66.4,55.3,55.4,55.3,Unknown,Unknown,Unknown,56,34.2,40.7,56.2,58.3,67.8,8.75,0.5,3,1.75,1,2,0.5
WISCONSIN,74.7,71.7,68.9,74.3,43.5,41.7,42.4,77.2,55.6,73.1,65.5,73,82.4,14.75,1.75,1.5,3.25,2.75,4,1.5
WYOMING,67.9,64.1,61.1,67.2,Unknown,Unknown,Unknown,66.2,Unknown,Unknown,Unknown,73,76,7.75,-0.75,2.5,2,0.5,1,2.5
